           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.44159232683e-01   1.85723001418e-01   4.15637687353e-02
   1.00000000000e-01   1.44159232683e-01   1.48315609556e-01   4.15637687380e-03
   1.00000000000e-02   1.44159232683e-01   1.44574870372e-01   4.15637689348e-04
   1.00000000000e-03   1.44159232683e-01   1.44200796478e-01   4.15637955035e-05
   1.00000000000e-04   1.44159232683e-01   1.44163389248e-01   4.15656532901e-06
   1.00000000000e-05   1.44159232683e-01   1.44159647700e-01   4.15017146621e-07
   1.00000000000e-06   1.44159232683e-01   1.44159266552e-01   3.38692555668e-08
   1.00000000000e-07   1.44159232683e-01   1.44159377491e-01   1.44808291302e-07
   1.00000000000e-08   1.44159232683e-01   1.44160061666e-01   8.28983230228e-07
