Step Size 	 grad'*dir 	 FD Approx 	 Error 
--------- 	 --------- 	 --------- 	 ----- 
1.0000E-01 	2.248522E+01 	2.236275E+01 	1.224739E-01 
1.0000E-02 	2.248522E+01 	2.247375E+01 	1.147399E-02 
1.0000E-03 	2.248522E+01 	2.248408E+01 	1.141657E-03 
1.0000E-04 	2.248522E+01 	2.248510E+01 	1.143919E-04 
1.0000E-05 	2.248522E+01 	2.248521E+01 	9.181561E-06 
1.0000E-06 	2.248522E+01 	2.248530E+01 	7.913037E-05 
1.0000E-07 	2.248522E+01 	2.248466E+01 	5.547874E-04 
1.0000E-08 	2.248522E+01 	2.249453E+01 	9.313230E-03 
1.0000E-09 	2.248522E+01 	2.248817E+01 	2.946767E-03 
1.0000E-10 	2.248522E+01 	2.231900E+01 	1.662192E-01 
