           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -4.23282535955e+04  -3.38032578938e+04   8.52499570173e+03
   1.00000000000e-01  -4.23282535955e+04  -4.32333854877e+04   9.05131892182e+02
   1.00000000000e-02  -4.23282535955e+04  -4.24429654756e+04   1.14711880127e+02
   1.00000000000e-03  -4.23282535955e+04  -4.23399722909e+04   1.17186954262e+01
   1.00000000000e-04  -4.23282535955e+04  -4.23293765308e+04   1.12293535082e+00
   1.00000000000e-05  -4.23282535955e+04  -4.23282730393e+04   1.94438284525e-02
   1.00000000000e-06  -4.23282535955e+04  -4.23315439839e+04   3.29038840888e+00
   1.00000000000e-07  -4.23282535955e+04  -4.23659803346e+04   3.77267390972e+01
   1.00000000000e-08  -4.23282535955e+04  -4.22326615080e+04   9.55920874590e+01
   1.00000000000e-09  -4.23282535955e+04  -4.16031107306e+04   7.25142864835e+02
   1.00000000000e-10  -4.23282535955e+04  -6.45080581307e+04   2.21798045353e+04
   1.00000000000e-11  -4.23282535955e+04   1.87521800399e+05   2.29850053994e+05
