           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e-01   1.05145853725e-06   1.05392725991e-06   2.46872265438e-09
   5.00000000000e-02   1.05145853725e-06   1.05268550321e-06   1.22696595692e-09
   2.50000000000e-02   1.05145853725e-06   1.05207027090e-06   6.11733647373e-10
   1.25000000000e-02   1.05145853725e-06   1.05176406251e-06   3.05525255397e-10
   6.25000000000e-03   1.05145853725e-06   1.05161131358e-06   1.52776330777e-10
   3.12500000000e-03   1.05145853725e-06   1.05153503682e-06   7.64995680933e-11
   1.56250000000e-03   1.05145853725e-06   1.05149688068e-06   3.83434231830e-11
   7.81250000000e-04   1.05145853725e-06   1.05147783813e-06   1.93008778647e-11
   3.90625000000e-04   1.05145853725e-06   1.05146838791e-06   9.85065947904e-12
   1.95312500000e-04   1.05145853725e-06   1.05146369833e-06   5.16107742303e-12
