           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e-01  -1.07542978077e-04  -5.27127804151e-05   5.48301976623e-05
   2.00000000000e-02  -1.07542978077e-04  -1.17046369748e-04   9.50339167046e-06
   4.00000000000e-03  -1.07542978077e-04  -5.74096024331e-05   5.01333756443e-05
   8.00000000000e-04  -1.07542978077e-04  -1.61859092900e-04   5.43161148222e-05
   1.60000000000e-04  -1.07542978077e-04  -1.07465809689e-04   7.71683887169e-08
   3.20000000000e-05  -1.07542978077e-04  -1.07527347269e-04   1.56308081301e-08
   6.40000000000e-06  -1.07542978077e-04  -1.07538509347e-04   4.46872992397e-09
   1.28000000000e-06  -1.07542978077e-04  -1.07540582342e-04   2.39573537018e-09
   2.56000000000e-07  -1.07542978077e-04  -1.07529870425e-04   1.31076528343e-08
   5.12000000000e-08  -1.07542978077e-04  -1.07422209149e-04   1.20768928562e-07
   1.02400000000e-08  -1.07542978077e-04  -1.06978228359e-04   5.64749718195e-07
   2.04800000000e-09  -1.07542978077e-04  -1.04530641955e-04   3.01233612258e-06
   4.09600000000e-10  -1.07542978077e-04  -1.01508428399e-04   6.03454967838e-06
   8.19200000000e-11  -1.07542978077e-04  -2.43945488809e-05   8.31484291964e-05
   1.63840000000e-11  -1.07542978077e-04   1.43995601033e-04   2.51538579111e-04
   3.27680000000e-12  -1.07542978077e-04   3.30342849429e-04   4.37885827507e-04
   6.55360000000e-13  -1.07542978077e-04   2.54109884176e-03   2.64864181984e-03
   1.31072000000e-13  -1.07542978077e-04  -1.90582413132e-03   1.79828115324e-03
   2.62144000000e-14  -1.07542978077e-04   8.57620859095e-02   8.58696288876e-02
   5.24288000000e-15  -1.07542978077e-04   2.22346148654e-01   2.22453691632e-01
