           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -1.46944608716e+08  -1.16673951324e+08   3.02706573914e+07
   1.00000000000e-01  -1.46944608716e+08  -1.43682840100e+08   3.26176861578e+06
   1.00000000000e-02  -1.46944608716e+08  -1.46616041783e+08   3.28566932612e+05
   1.00000000000e-03  -1.46944608716e+08  -1.46911728096e+08   3.28806203389e+04
   1.00000000000e-04  -1.46944608716e+08  -1.46941320406e+08   3.28830964208e+03
   1.00000000000e-05  -1.46944608716e+08  -1.46944279864e+08   3.28851410151e+02
   1.00000000000e-06  -1.46944608716e+08  -1.46944575876e+08   3.28398430645e+01
   1.00000000000e-07  -1.46944608716e+08  -1.46944595277e+08   1.34385311902e+01
   1.00000000000e-08  -1.46944608716e+08  -1.46944394708e+08   2.14008160859e+02
