
Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     2.998271e-01   4.634764e-02   ---            1.500000e+01   1         1         0         2         ---       
  1     2.623025e-01   7.819064e-03   1.787868e+00   1.500000e+01   2         2         8         12        0         
  2     2.589150e-01   2.143231e-02   2.819656e+00   1.500000e+01   3         3         10        16        0         
  3     2.457069e-01   1.270905e-02   3.019934e+00   1.500000e+01   4         4         12        20        0         
  4     1.906121e-01   2.705953e-02   3.382307e+00   1.800000e+01   5         5         14        24        0         
  5     1.906121e-01   2.705953e-02   3.352611e+00   2.514458e+00   6         5         16        27        2         
  6     1.906121e-01   2.705953e-02   2.859466e+00   1.885844e+00   7         5         16        38        2         
Cauchy point: The interpolation limit was met without producing sufficient decrease.
              Lin-More trust-region algorithm may not converge!
  7     1.902292e-01   2.707870e-02   8.064367e-03   1.885844e+00   8         6         25        50        1         
  8     1.699241e-01   2.187339e-02   1.005910e+00   1.885844e+00   9         7         29        57        0         
  9     1.646813e-01   6.769521e-03   7.977236e-01   1.885844e+00   10        8         30        61        0         
  10    1.646813e-01   6.769521e-03   1.857841e+00   1.393381e+00   11        8         33        66        2         
  11    1.646813e-01   6.769521e-03   1.165331e+00   8.739980e-01   12        8         34        69        2         
  12    1.646813e-01   6.769521e-03   7.316635e-01   5.487476e-01   13        8         35        71        2         
  13    1.646813e-01   6.769521e-03   3.912237e-01   2.934177e-01   14        8         36        73        2         
  14    1.646677e-01   4.450674e-03   1.968069e-01   2.934177e-01   15        9         37        76        0         
  15    1.646677e-01   4.450674e-03   1.294031e-01   9.705234e-02   16        9         38        79        2         
  16    1.646677e-01   4.450674e-03   6.471482e-02   4.853612e-02   17        9         39        81        2         
  17    1.646677e-01   4.450674e-03   3.238002e-02   2.428501e-02   18        9         40        83        2         
  18    1.646677e-01   4.450674e-03   1.619135e-02   1.214351e-02   19        9         41        85        2         
  19    1.646677e-01   4.450674e-03   8.095729e-03   6.071796e-03   20        9         42        87        2         
  20    1.646677e-01   4.450674e-03   4.047864e-03   3.035898e-03   21        9         43        89        2         
  21    1.646677e-01   4.450674e-03   2.023932e-03   1.517949e-03   22        9         44        91        2         
  22    1.646677e-01   4.450674e-03   1.011966e-03   7.589746e-04   23        9         45        93        2         
  23    1.646677e-01   4.450674e-03   5.059830e-04   3.794873e-04   24        9         46        95        2         
  24    1.646677e-01   4.450674e-03   2.529915e-04   1.897436e-04   25        9         47        97        2         
  25    1.646677e-01   4.450674e-03   1.264958e-04   9.487182e-05   26        9         48        99        2         
  26    1.646677e-01   4.450674e-03   6.324788e-05   4.743591e-05   27        9         49        101       2         
  27    1.646677e-01   4.450674e-03   3.162394e-05   2.371795e-05   28        9         50        103       2         
  28    1.646677e-01   4.450674e-03   1.581197e-05   1.185898e-05   29        9         51        105       2         
  29    1.646677e-01   4.450674e-03   7.905985e-06   5.929489e-06   30        9         52        107       2         
  30    1.646677e-01   4.450674e-03   3.952992e-06   2.964744e-06   31        9         53        109       2         
  31    1.646677e-01   4.450639e-03   1.976496e-06   2.964744e-06   32        10        54        112       0         
  32    1.646677e-01   4.450639e-03   1.976481e-06   1.482360e-06   33        10        55        115       2         
  33    1.646677e-01   4.450639e-03   9.882403e-07   7.411802e-07   34        10        56        117       2         
  34    1.646677e-01   4.450639e-03   4.941202e-07   3.705901e-07   35        10        57        119       2         
  35    1.646677e-01   4.450639e-03   2.470601e-07   1.852951e-07   36        10        58        121       2         
  36    1.646677e-01   4.450639e-03   1.235300e-07   9.264753e-08   37        10        59        123       2         
  37    1.646677e-01   4.450639e-03   6.176502e-08   4.632377e-08   38        10        60        125       2         
  38    1.646677e-01   4.450639e-03   3.088251e-08   2.316188e-08   39        10        61        127       2         
  39    1.646677e-01   4.450639e-03   1.544126e-08   1.158094e-08   40        10        62        129       2         
  40    1.646677e-01   4.450639e-03   7.720628e-09   5.790471e-09   41        10        63        131       2         
  41    1.646677e-01   4.450639e-03   3.860314e-09   2.895235e-09   42        10        64        133       2         
  42    1.646677e-01   4.450639e-03   1.930157e-09   1.447618e-09   43        10        65        135       2         
  43    1.646677e-01   4.450639e-03   9.650784e-10   7.238088e-10   44        10        66        137       2         
  44    1.646677e-01   4.450639e-03   4.825392e-10   3.619044e-10   45        10        67        139       2         
  45    1.646677e-01   4.450639e-03   2.412696e-10   1.809522e-10   46        10        68        141       2         
  46    1.646677e-01   4.450639e-03   1.206348e-10   1.809522e-10   47        11        69        144       0         
  47    1.646677e-01   4.450639e-03   1.206348e-10   9.047610e-11   48        11        70        147       2         
  48    1.646677e-01   4.450639e-03   6.031740e-11   4.523805e-11   49        11        71        149       2         
  49    1.646677e-01   4.450639e-03   3.015870e-11   2.261902e-11   50        11        72        151       2         
  50    1.646677e-01   4.450639e-03   1.507935e-11   1.130951e-11   51        11        73        153       2         
Optimization Terminated with Status: Iteration Limit Exceeded
