           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   4.51144408828e-04   4.07405808392e-04   4.37386004356e-05
   1.00000000000e-01   4.51144408828e-04   4.03734026145e-04   4.74103826824e-05
   1.00000000000e-02   4.51144408828e-04   4.24294375428e-04   2.68500333993e-05
   1.00000000000e-03   4.51144408828e-04   4.50850200673e-04   2.94208154924e-07
   1.00000000000e-04   4.51144408828e-04   4.51115006461e-04   2.94023665156e-08
   1.00000000000e-05   4.51144408828e-04   4.51140907964e-04   3.50086335111e-09
   1.00000000000e-06   4.51144408828e-04   4.51138848501e-04   5.56032706174e-09
   1.00000000000e-07   4.51144408828e-04   4.51139681168e-04   4.72765979332e-09
   1.00000000000e-08   4.51144408828e-04   4.50978143718e-04   1.66265109876e-07
   1.00000000000e-09   4.51144408828e-04   4.49695836124e-04   1.44857270332e-06
