           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   6.61833884204e-06   9.07173486871e-06   2.45339602666e-06
   1.00000000000e-01   6.61833884204e-06   6.84068679225e-06   2.22347950212e-07
   1.00000000000e-02   6.61833884204e-06   6.64056993887e-06   2.22310968315e-08
   1.00000000000e-03   6.61833884204e-06   6.62056203158e-06   2.22318954172e-09
   1.00000000000e-04   6.61833884204e-06   6.61856259441e-06   2.23752372617e-10
   1.00000000000e-05   6.61833884204e-06   6.61833279289e-06   6.04915675215e-12
   1.00000000000e-06   6.61833884204e-06   6.61833587066e-06   2.97137783416e-12
   1.00000000000e-07   6.61833884204e-06   6.62290751755e-06   4.56867550267e-09
   1.00000000000e-08   6.61833884204e-06   6.71208558569e-06   9.37467436445e-08
   1.00000000000e-09   6.61833884204e-06   7.78092596864e-06   1.16258712660e-06
   1.00000000000e-10   6.61833884204e-06   6.74455066449e-06   1.26211822447e-07
   1.00000000000e-11   6.61833884204e-06   1.07254699913e-05   4.10713114927e-06
