           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   3.67147307731e-03   4.37321787960e-04   3.23415128935e-03
   1.00000000000e-01   3.67147307731e-03   3.30797482859e-03   3.63498248713e-04
   1.00000000000e-02   3.67147307731e-03   3.63453693764e-03   3.69361396695e-05
   1.00000000000e-03   3.67147307731e-03   3.66777462979e-03   3.69844751532e-06
   1.00000000000e-04   3.67147307731e-03   3.67110364330e-03   3.69434006022e-07
   1.00000000000e-05   3.67147307731e-03   3.67149626257e-03   2.31852644063e-08
   1.00000000000e-06   3.67147307731e-03   3.67209729291e-03   6.24215601018e-07
   1.00000000000e-07   3.67147307731e-03   3.67575303528e-03   4.27995797650e-06
   1.00000000000e-08   3.67147307731e-03   3.72182284991e-03   5.03497726063e-05
   1.00000000000e-09   3.67147307731e-03   4.17443857259e-03   5.02965495286e-04
   1.00000000000e-10   3.67147307731e-03   8.25117751901e-03   4.57970444171e-03
   1.00000000000e-11   3.67147307731e-03   5.91526827520e-02   5.54812096747e-02
