           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   2.13043743866e-02  -6.57786927539e-02   8.70830671405e-02
   1.00000000000e-01   2.13043743866e-02   1.21281123795e-02   9.17626200713e-03
   1.00000000000e-02   2.13043743866e-02   2.03885917676e-02   9.15782619020e-04
   1.00000000000e-03   2.13043743866e-02   2.12128563952e-02   9.15179913784e-05
   1.00000000000e-04   2.13043743866e-02   2.12949530343e-02   9.42135233592e-06
   1.00000000000e-05   2.13043743866e-02   2.13036291719e-02   7.45214749770e-07
   1.00000000000e-06   2.13043743866e-02   2.13087589795e-02   4.38459293997e-06
   1.00000000000e-07   2.13043743866e-02   2.13860373854e-02   8.16629988366e-05
   1.00000000000e-08   2.13043743866e-02   1.93198346210e-02   1.98453976560e-03
   1.00000000000e-09   2.13043743866e-02   6.37980779317e-02   4.24937035451e-02
   1.00000000000e-10   2.13043743866e-02   1.86470838770e-01   1.65166464383e-01
   1.00000000000e-11   2.13043743866e-02   3.37347927371e+00   3.35217489932e+00
