Step Size 	 grad'*dir 	 FD Approx 	 Error 
--------- 	 --------- 	 --------- 	 ----- 
1.0000E-01 	2.231289E+01 	2.219623E+01 	1.166641E-01 
1.0000E-02 	2.231289E+01 	2.230198E+01 	1.090724E-02 
1.0000E-03 	2.231289E+01 	2.231180E+01 	1.085410E-03 
1.0000E-04 	2.231289E+01 	2.231278E+01 	1.080128E-04 
1.0000E-05 	2.231289E+01 	2.231287E+01 	1.613564E-05 
1.0000E-06 	2.231289E+01 	2.231283E+01 	5.588056E-05 
1.0000E-07 	2.231289E+01 	2.231081E+01 	2.074959E-03 
1.0000E-08 	2.231289E+01 	2.230745E+01 	5.440089E-03 
1.0000E-09 	2.231289E+01 	2.230627E+01 	6.622432E-03 
1.0000E-10 	2.231289E+01 	2.133675E+01 	9.761438E-01 
