           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   3.60659909032e-01   4.06710452019e-01   4.60505429867e-02
   1.00000000000e-01   3.60659909032e-01   4.05711942506e-01   4.50520334738e-02
   1.00000000000e-02   3.60659909032e-01   4.04798432036e-01   4.41385230040e-02
   1.00000000000e-03   3.60659909032e-01   4.04699029072e-01   4.40391200397e-02
   1.00000000000e-04   3.60659909032e-01   4.04689008435e-01   4.40290994034e-02
   1.00000000000e-05   3.60659909032e-01   4.04688005640e-01   4.40280966077e-02
   1.00000000000e-06   3.60659909032e-01   4.04687902078e-01   4.40279930461e-02
   1.00000000000e-07   3.60659909032e-01   4.04687843236e-01   4.40279342043e-02
   1.00000000000e-08   3.60659909032e-01   4.04688282885e-01   4.40283738526e-02
   1.00000000000e-09   3.60659909032e-01   4.04690947420e-01   4.40310383879e-02
   1.00000000000e-10   3.60659909032e-01   4.04694056044e-01   4.40341470124e-02
   1.00000000000e-11   3.60659909032e-01   4.05897537803e-01   4.52376287710e-02
   1.00000000000e-12   3.60659909032e-01   4.08340028457e-01   4.76801194252e-02
   1.00000000000e-13   3.60659909032e-01   4.46309655899e-01   8.56497468674e-02
   1.00000000000e-14   3.60659909032e-01   2.88657986403e-01   7.20019226294e-02
