           Step size       norm(Jac*vec)     norm(FD approx)     norm(abs error)
           ---------       -------------     ---------------     ---------------
   1.00000000000e+00   5.01424797015e-02   5.01424797015e-02   1.36002320517e-15
   1.00000000000e-01   5.01424797015e-02   5.01424797015e-02   2.35367281221e-14
   1.00000000000e-02   5.01424797015e-02   5.01424797014e-02   1.25122134875e-13
   1.00000000000e-03   5.01424797015e-02   5.01424797021e-02   5.38236122338e-13
   1.00000000000e-04   5.01424797015e-02   5.01424796839e-02   1.75861547547e-11
   1.00000000000e-05   5.01424797015e-02   5.01424796351e-02   6.64359747771e-11
   1.00000000000e-06   5.01424797015e-02   5.01424775312e-02   2.17030859950e-09
   1.00000000000e-07   5.01424797015e-02   5.01424499144e-02   2.97871063371e-08
   1.00000000000e-08   5.01424797015e-02   5.01423541577e-02   1.25543842211e-07
   1.00000000000e-09   5.01424797015e-02   5.01410857279e-02   1.39397364785e-06
   1.00000000000e-10   5.01424797015e-02   5.01218511140e-02   2.06285875495e-05
   1.00000000000e-11   5.01424797015e-02   4.99517094354e-02   1.90770266073e-04
   1.00000000000e-12   5.01424797015e-02   5.01820807131e-02   3.96010115364e-05
