           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.49316039807e-04   3.00337603514e-03   3.25269207494e-03
   2.00000000000e-01  -2.49316039807e-04   3.95298197993e-04   6.44614237800e-04
   4.00000000000e-02  -2.49316039807e-04  -1.30756733882e-04   1.18559305925e-04
   8.00000000000e-03  -2.49316039807e-04  -2.76743635605e-04   2.74275957983e-05
   1.60000000000e-03  -2.49316039807e-04  -1.24768052348e-04   1.24547987459e-04
   3.20000000000e-04  -2.49316039807e-04  -3.85302633896e-04   1.35986594089e-04
   6.40000000000e-05  -2.49316039807e-04  -2.49150154067e-04   1.65885739609e-07
   1.28000000000e-05  -2.49316039807e-04  -2.49282649644e-04   3.33901625989e-08
   2.56000000000e-06  -2.49316039807e-04  -2.49306673396e-04   9.36641086094e-09
   5.12000000000e-07  -2.49316039807e-04  -2.49300742810e-04   1.52969967444e-08
   1.02400000000e-07  -2.49316039807e-04  -2.49295213379e-04   2.08264278241e-08
   2.04800000000e-08  -2.49316039807e-04  -2.49119843677e-04   1.96196129224e-07
   4.09600000000e-09  -2.49316039807e-04  -2.48810846058e-04   5.05193748382e-07
   8.19200000000e-10  -2.49316039807e-04  -2.41336627332e-04   7.97941247495e-06
   1.63840000000e-10  -2.49316039807e-04  -2.36491598873e-04   1.28244409332e-05
   3.27680000000e-11  -2.49316039807e-04  -1.69406589451e-04   7.99094503558e-05
   6.55360000000e-12  -2.49316039807e-04   1.22819777352e-04   3.72135817159e-04
   1.31072000000e-12  -2.49316039807e-04   1.10114283143e-03   1.35045887124e-03
   2.62144000000e-13  -2.49316039807e-04   8.47032947254e-04   1.09634898706e-03
   5.24288000000e-14  -2.49316039807e-04   6.35274710441e-02   6.37767870839e-02
