           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -4.68779143291e+01  -4.90647444119e+01   2.18683008274e+00
   1.00000000000e-01  -4.68779143291e+01  -4.71497292444e+01   2.71814915313e-01
   1.00000000000e-02  -4.68779143291e+01  -4.69059592802e+01   2.80449511131e-02
   1.00000000000e-03  -4.68779143291e+01  -4.68807269624e+01   2.81263327155e-03
   1.00000000000e-04  -4.68779143291e+01  -4.68781926531e+01   2.78324011326e-04
   1.00000000000e-05  -4.68779143291e+01  -4.68780260007e+01   1.11671612771e-04
   1.00000000000e-06  -4.68779143291e+01  -4.68778296181e+01   8.47110307092e-05
   1.00000000000e-07  -4.68779143291e+01  -4.68779171570e+01   2.82783433647e-06
   1.00000000000e-08  -4.68779143291e+01  -4.68779376206e+01   2.32914651264e-05
   1.00000000000e-09  -4.68779143291e+01  -4.68792222819e+01   1.30795273137e-03
   1.00000000000e-10  -4.68779143291e+01  -4.68889993499e+01   1.10850207754e-02
   1.00000000000e-11  -4.68779143291e+01  -4.69185579277e+01   4.06435985831e-02
