           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.05966877599e+06   6.36861514804e+06   5.30894637205e+06
   1.00000000000e-01   1.05966877599e+06   1.99261005705e+06   9.32941281063e+05
   1.00000000000e-02   1.05966877599e+06   1.38012077529e+06   3.20451999301e+05
   1.00000000000e-03   1.05966877599e+06   1.07494593446e+06   1.52771584681e+04
   1.00000000000e-04   1.05966877599e+06   1.06118734241e+06   1.51856641383e+03
   1.00000000000e-05   1.05966877599e+06   1.05982058048e+06   1.51804490990e+02
   1.00000000000e-06   1.05966877599e+06   1.05968447030e+06   1.56943044129e+01
   1.00000000000e-07   1.05966877599e+06   1.05967462063e+06   5.84463686380e+00
   1.00000000000e-08   1.05966877599e+06   1.05971097946e+06   4.22034701768e+01
   1.00000000000e-09   1.05966877599e+06   1.06047093868e+06   8.02162691063e+02
   1.00000000000e-10   1.05966877599e+06   1.07035040855e+06   1.06816325626e+04
   1.00000000000e-11   1.05966877599e+06   1.15633010864e+06   9.66613326511e+04
