           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -1.12551388725e+00  -1.09686460226e+00   2.86492849907e-02
   1.00000000000e-01  -1.12551388725e+00  -1.12263798281e+00   2.87590444161e-03
   1.00000000000e-02  -1.12551388725e+00  -1.12522622909e+00   2.87658156295e-04
   1.00000000000e-03  -1.12551388725e+00  -1.12548567344e+00   2.82138076240e-05
   1.00000000000e-04  -1.12551388725e+00  -1.12551498944e+00   1.10219089366e-06
   1.00000000000e-05  -1.12551388725e+00  -1.12543518753e+00   7.86997164108e-05
   1.00000000000e-06  -1.12551388725e+00  -1.12504002914e+00   4.73858111306e-04
   1.00000000000e-07  -1.12551388725e+00  -1.13475891794e+00   9.24503069355e-03
   1.00000000000e-08  -1.12551388725e+00  -1.28485453388e+00   1.59340646630e-01
   1.00000000000e-09  -1.12551388725e+00  -1.40769884638e+00   2.82184959130e-01
   1.00000000000e-10  -1.12551388725e+00  -9.07590447241e+00   7.95039058516e+00
   1.00000000000e-11  -1.12551388725e+00  -3.96198629460e+01   3.84943490587e+01
