           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -1.57519935625e-01  -1.50702622201e-01   6.81731342400e-03
   1.00000000000e-01  -1.57519935625e-01  -1.56817498748e-01   7.02436877232e-04
   1.00000000000e-02  -1.57519935625e-01  -1.57450853153e-01   6.90824722746e-05
   1.00000000000e-03  -1.57519935625e-01  -1.57512906520e-01   7.02910514097e-06
   1.00000000000e-04  -1.57519935625e-01  -1.57519814092e-01   1.21533071079e-07
   1.00000000000e-05  -1.57519935625e-01  -1.57518212740e-01   1.72288545511e-06
   1.00000000000e-06  -1.57519935625e-01  -1.57451787386e-01   6.81482395612e-05
   1.00000000000e-07  -1.57519935625e-01  -1.56848927180e-01   6.71008445761e-04
