           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -1.39781820838e-03  -2.48481055107e-03   1.08699234269e-03
   1.00000000000e-01  -1.39781820838e-03  -1.50803182805e-03   1.10213619674e-04
   1.00000000000e-02  -1.39781820838e-03  -1.40893115432e-03   1.11129459442e-05
   1.00000000000e-03  -1.39781820838e-03  -1.39892608519e-03   1.10787681547e-06
   1.00000000000e-04  -1.39781820838e-03  -1.39795295340e-03   1.34745018107e-07
   1.00000000000e-05  -1.39781820838e-03  -1.39719489312e-03   6.23315263107e-07
   1.00000000000e-06  -1.39781820838e-03  -1.39136524524e-03   6.45296313865e-06
   1.00000000000e-07  -1.39781820838e-03  -1.36878952617e-03   2.90286822106e-05
   1.00000000000e-08  -1.39781820838e-03  -1.02904351706e-03   3.68774691314e-04
   1.00000000000e-09  -1.39781820838e-03   7.98561217152e-03   9.38343037990e-03
   1.00000000000e-10  -1.39781820838e-03   1.52686752131e-01   1.54084570339e-01
   1.00000000000e-11  -1.39781820838e-03   9.07895980617e-01   9.09293798826e-01
