           Step size       norm(Jac*vec)     norm(FD approx)     norm(abs error)
           ---------       -------------     ---------------     ---------------
   1.00000000000e+00   1.63010742652e-04   2.46649296545e-04   8.36385538932e-05
   1.00000000000e-01   1.63010742652e-04   1.73233356217e-04   1.02226135645e-05
   1.00000000000e-02   1.63010742652e-04   1.67318253008e-04   4.30751035614e-06
   1.00000000000e-03   1.63010742652e-04   1.62812893612e-04   1.97849040529e-07
   1.00000000000e-04   1.63010742652e-04   1.61492380579e-04   1.51836207278e-06
   1.00000000000e-05   1.63010742652e-04   1.05660913352e-04   5.73498293000e-05
   1.00000000000e-06   1.63010742652e-04   4.38393210622e-04   6.01403953274e-04
   1.00000000000e-07   1.63010742652e-04   6.49735487634e-03   6.66036561900e-03
   1.00000000000e-08   1.63010742652e-04   0.00000000000e+00   1.63010742652e-04
   1.00000000000e-09   1.63010742652e-04   0.00000000000e+00   1.63010742652e-04
   1.00000000000e-10   1.63010742652e-04   0.00000000000e+00   1.63010742652e-04
   1.00000000000e-11   1.63010742652e-04   0.00000000000e+00   1.63010742652e-04
   1.00000000000e-12   1.63010742652e-04   0.00000000000e+00   1.63010742652e-04
