           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.45306963150e-04  -2.50446324543e-04   5.13936139328e-06
   1.00000000000e-01  -2.45306963150e-04  -2.45820826011e-04   5.13862861338e-07
   1.00000000000e-02  -2.45306963150e-04  -2.45359327405e-04   5.23642550639e-08
   1.00000000000e-03  -2.45306963150e-04  -2.45313186743e-04   6.22359363339e-09
   1.00000000000e-04  -2.45306963150e-04  -2.45308573177e-04   1.61002716010e-09
   1.00000000000e-05  -2.45306963150e-04  -2.45308120345e-04   1.15719494393e-09
   1.00000000000e-06  -2.45306963150e-04  -2.45308190427e-04   1.22727777230e-09
   1.00000000000e-07  -2.45306963150e-04  -2.45306830404e-04   1.32745432864e-10
