           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   3.03132650989e+05   3.46589050255e+05   4.34563992657e+04
   1.00000000000e-01   3.03132650989e+05   3.07892020998e+05   4.75937000891e+03
   1.00000000000e-02   3.03132650989e+05   3.03612862315e+05   4.80211326235e+02
   1.00000000000e-03   3.03132650989e+05   3.03180726703e+05   4.80757144626e+01
   1.00000000000e-04   3.03132650989e+05   3.03137791269e+05   5.14027973369e+00
   1.00000000000e-05   3.03132650989e+05   3.03133065626e+05   4.14637231384e-01
   1.00000000000e-06   3.03132650989e+05   3.03153730929e+05   2.10799401040e+01
   1.00000000000e-07   3.03132650989e+05   3.04192788899e+05   1.06013791015e+03
   1.00000000000e-08   3.03132650989e+05   3.02257761359e+05   8.74889629579e+02
   1.00000000000e-09   3.03132650989e+05   3.05246561766e+05   2.11391077688e+03
   1.00000000000e-10   3.03132650989e+05   4.12985682487e+05   1.09853031499e+05
   1.00000000000e-11   3.03132650989e+05   4.00617718697e+06   3.70304453598e+06
