Iteration Objective QOI2 QOI3 QOI4
1 1.450862233186640260e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
2 2.061267139790214364e-01 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
3 5.736183057252644546e-02 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
4 1.450862233186640260e-01 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
5 1.450192267630653897e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
6 3.668966398810141749e-02 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
7 3.390501796655315259e-03 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
8 1.884912096937751969e-04 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
9 5.986322528095083806e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
10 1.096049046501845758e-03 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
11 1.003433041325829667e-04 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
12 4.725962286514229227e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
13 2.442083856668553210e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
14 1.200764548617283545e-05 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
15 6.494844715073111452e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
16 1.250322764408673404e-04 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
17 1.511830688680215751e-05 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
18 4.519871807662223517e-07 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
19 1.690242390828267105e-06 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
20 7.380854849525775307e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
21 3.652050681590690573e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
22 5.903004354212981752e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
23 4.333804294320842132e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
24 3.059248513404000391e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
25 3.859686787954785814e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
26 4.503934923627550546e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
27 3.515540371867853509e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
28 3.450792629144938672e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
29 3.312951994127733002e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
30 4.106689973359944901e-07 0.0 0.0 0.0
31 3.363041849724357490e-07 0.0 0.0 0.0
31 3.363041849724357490e-07 0.0 0.0 0.0
31 3.363041849724357490e-07 0.0 0.0 0.0
31 3.363041849724357490e-07 0.0 0.0 0.0
31 3.363041849724357490e-07 0.0 0.0 0.0
