
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     1.450862e-01   9.261367e-02   ---            1.500000e+01   1         1         0         2         ---       
  1     1.450862e-01   9.261367e-02   1.000000e+01   7.500000e+00   2         1         5         8         2         
  2     5.736183e-02   4.429672e-02   4.341266e+00   7.500000e+00   3         2         6         13        0         
  3     5.736183e-02   4.429672e-02   4.341266e+00   3.255949e+00   4         2         9         17        2         
  4     1.450192e-02   3.920063e-02   2.595511e+00   3.255949e+00   5         3         10        21        0         
  5     1.450192e-02   3.920063e-02   2.296912e+00   1.722684e+00   6         3         11        24        2         
  6     3.390502e-03   1.650319e-02   1.148456e+00   1.722684e+00   7         4         12        27        0         
  7     1.884912e-04   4.233543e-03   4.834920e-01   1.722684e+00   8         5         13        31        0         
  8     1.884912e-04   4.233543e-03   6.201479e-01   4.651109e-01   9         5         15        35        2         
  9     1.884912e-04   4.233543e-03   3.100740e-01   2.325555e-01   10        5         16        37        2         
  10    1.003433e-04   3.014324e-03   1.550370e-01   2.325555e-01   11        6         17        40        0         
  11    4.725962e-05   2.098605e-03   1.103879e-01   2.325555e-01   12        7         18        44        0         
  12    2.442084e-05   1.484025e-03   7.685321e-02   2.325555e-01   13        8         19        48        0         
  13    1.200765e-05   1.043137e-03   5.434661e-02   2.325555e-01   14        9         20        52        0         
  14    1.200765e-05   1.043137e-03   1.910040e-01   1.432530e-01   15        9         22        56        2         
  15    1.200765e-05   1.043137e-03   9.550202e-02   7.162652e-02   16        9         23        58        2         
  16    1.200765e-05   1.043137e-03   4.775101e-02   3.581326e-02   17        9         24        60        2         
  17    4.519872e-07   8.280519e-05   2.387551e-02   3.581326e-02   18        10        25        63        0         
  18    4.519872e-07   8.280519e-05   9.476301e-03   7.107226e-03   19        10        27        67        2         
  19    4.519872e-07   8.280519e-05   4.738151e-03   3.553613e-03   20        10        28        69        2         
  20    3.652051e-07   2.169163e-05   2.369075e-03   3.553613e-03   21        11        29        72        0         
  21    3.652051e-07   2.169163e-05   3.103013e-03   2.327260e-03   22        11        31        76        2         
  22    3.652051e-07   2.169163e-05   1.551506e-03   1.163630e-03   23        11        32        78        2         
  23    3.059249e-07   8.815198e-06   7.757532e-04   1.396356e-03   24        12        33        81        0         
  24    3.059249e-07   8.815198e-06   3.152560e-04   2.364420e-04   25        12        34        84        2         
  25    3.059249e-07   8.815198e-06   1.576280e-04   1.182210e-04   26        12        35        86        2         
  26    3.059249e-07   8.815198e-06   7.881401e-05   5.911051e-05   27        12        36        88        2         
  27    3.059249e-07   8.815198e-06   3.940701e-05   2.955525e-05   28        12        37        90        2         
  28    3.059249e-07   8.815198e-06   1.970350e-05   1.477763e-05   29        12        38        92        2         
  29    3.059249e-07   8.815198e-06   9.851752e-06   7.388814e-06   30        12        39        94        2         
  30    3.059249e-07   8.815198e-06   4.925876e-06   3.694407e-06   31        12        40        96        2         
  31    3.059249e-07   8.815198e-06   2.462938e-06   1.847203e-06   32        12        41        98        2         
  32    3.059249e-07   8.815198e-06   1.231469e-06   9.236017e-07   33        12        42        100       2         
  33    3.059249e-07   8.815198e-06   6.157345e-07   4.618009e-07   34        12        43        102       2         
  34    3.059249e-07   8.815198e-06   3.078672e-07   2.309004e-07   35        12        44        104       2         
  35    3.059249e-07   8.815198e-06   1.539336e-07   1.154502e-07   36        12        45        106       0         
  36    3.059249e-07   8.815198e-06   7.696681e-08   5.772511e-08   37        12        46        108       0         
  37    3.059249e-07   8.815198e-06   3.848340e-08   2.886255e-08   38        12        47        110       0         
  38    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   39        13        48        113       0         
  39    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   40        14        49        117       0         
  40    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   41        15        50        121       0         
  41    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   42        16        51        125       0         
  42    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   43        17        52        129       0         
  43    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   44        18        53        133       0         
  44    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   45        19        54        137       0         
  45    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   46        20        55        141       0         
  46    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   47        21        56        145       0         
  47    3.059249e-07   8.815198e-06   1.924170e-08   2.886255e-08   48        22        57        149       0         
  48    3.059249e-07   8.815198e-06   1.924170e-08   1.443128e-08   49        22        58        152       2         
  49    3.059249e-07   8.815198e-06   9.620852e-09   1.443128e-08   50        23        59        155       0         
  50    3.059249e-07   8.815198e-06   9.620852e-09   7.215639e-09   51        23        60        158       2         
Optimization Terminated with Status: Iteration Limit Exceeded
Delta: 7.21564e-09
