           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -1.80326167223e+07  -1.58492027991e+07   2.18341392319e+06
   1.00000000000e-01  -1.80326167223e+07  -1.78543709262e+07   1.78245796117e+05
   1.00000000000e-02  -1.80326167223e+07  -1.80152428711e+07   1.73738512317e+04
   1.00000000000e-03  -1.80326167223e+07  -1.80308838906e+07   1.73283176740e+03
   1.00000000000e-04  -1.80326167223e+07  -1.80324434833e+07   1.73238998853e+02
   1.00000000000e-05  -1.80326167223e+07  -1.80325994071e+07   1.73152597770e+01
   1.00000000000e-06  -1.80326167223e+07  -1.80326148942e+07   1.82811042294e+00
   1.00000000000e-07  -1.80326167223e+07  -1.80326179042e+07   1.18192413822e+00
   1.00000000000e-08  -1.80326167223e+07  -1.80326014757e+07   1.52466060780e+01
